INACAP;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas Críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha de Consulta: 30-01-2026 15:20;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERIODO;ZONA;SEDE;CODIGO ASIGNATURA;ASIGNATURA;AREA;COD PE;PROGRAMA;COD MENCION;MENCION;PLAN;INSTITUCION;JORNADA;NIVEL;PREREQUISITO SEMESTRE SIGUIENTE;ULTIMO NIVEL;SECCIONES;ALUMNOS;PROMEDIO NOTA UNO;PROMEDIO NOTA DOS;PROMEDIO NOTA TRES;ALUMNOS EN RIESGO;PORCENTAJE REPROBACION N1;PORCENTAJE REPROBACION N2;PORCENTAJE REPROBACION N3;AYUDANTIA VIRTUAL;AYUDANTIA SEDE;ALUMNOS AYUDANTIA
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCA04;Edificación en Altura;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;20;5.8;5.5;5.6;0;;25;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCA06;Análisis de Costos;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;6;0;NO;1;26;6.2;6;6.4;2;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCC06;Comportamiento de Estructuras;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;6;0;NO;2;26;6.4;4.4;5.6;2;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCG04;Instalaciones de Gas y Eléctricas;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;18;5.7;6.4;6.6;0;;30.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCG04;Instalaciones de Gas y Eléctricas;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;20;6.4;6.3;6.6;0;;15.4;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCH06;Hormigones y Morteros;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;6;0;NO;3;28;5.9;6.5;6.2;1;;;;0;SI;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCH14;Proyecto Integrado;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;15;5.4;6.3;6.6;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCH14;Proyecto Integrado;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;21;6.3;6.7;7;1;;20;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCI04;Instalaciones Sanitarias;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;20;6.7;6.6;6.7;1;;14.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCI04;Instalaciones Sanitarias;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;18;5.6;6.6;6.5;0;;20;;0;NO;0
